0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('78', 108)","('magnitude', 100)","('hit', 93)","('felt', 72)","('gaziantep', 62)","('central', 51)","('usgs', 51)","('ago', 45)","('minago', 43)","('report', 41)","('southern', 39)","('77', 39)","('pm', 35)","('powerful', 34)","('damage', 33)","('reported', 33)","('time', 32)","('near', 32)","('min', 31)","('everyone', 29)","('shaking', 29)","('m78', 28)","('hope', 28)","('strike', 27)","('one', 27)"
"('78', 687)","('magnitude', 679)","('building', 477)","('hit', 413)","('southern', 274)","('collapsed', 261)","('felt', 261)","('damage', 218)","('powerful', 213)","('many', 171)","('level', 171)","('report', 165)","('international', 165)","('massive', 164)","('country', 161)","('central', 159)","('everyone', 158)","('pray', 146)","('please', 146)","('region', 145)","('strong', 138)","('time', 138)","('quake', 137)","('city', 128)","('affected', 126)"
"('78', 631)","('magnitude', 620)","('building', 505)","('hit', 491)","('affected', 336)","('dead', 305)","('least', 276)","('injured', 261)","('massive', 247)","('southern', 246)","('pray', 235)","('quake', 221)","('powerful', 218)","('killed', 210)","('collapsed', 207)","('toll', 203)","('lebanon', 202)","('many', 200)","('country', 198)","('brother', 165)","('turkish', 165)","('report', 161)","('everyone', 148)","('city', 147)","('life', 140)"
"('magnitude', 582)","('78', 540)","('affected', 533)","('building', 449)","('hit', 439)","('injured', 355)","('dead', 292)","('country', 268)","('lebanon', 252)","('devastating', 247)","('toll', 239)","('massive', 236)","('pray', 233)","('powerful', 230)","('killed', 214)","('life', 210)","('thought', 206)","('today', 200)","('family', 199)","('many', 199)","('least', 198)","('news', 197)","('quake', 196)","('collapsed', 195)","('condolence', 180)"
"('affected', 533)","('magnitude', 528)","('78', 518)","('hit', 513)","('building', 505)","('country', 489)","('level', 402)","('injured', 352)","('pray', 329)","('dead', 318)","('condolence', 314)","('thought', 309)","('need', 306)","('family', 301)","('devastating', 296)","('brother', 282)","('many', 271)","('life', 270)","('powerful', 267)","('one', 264)","('international', 264)","('news', 263)","('world', 251)","('call', 242)","('victim', 240)"
"('magnitude', 1078)","('hit', 842)","('78', 786)","('affected', 612)","('building', 556)","('country', 541)","('pray', 472)","('powerful', 442)","('another', 433)","('injured', 431)","('devastating', 407)","('brother', 396)","('one', 384)","('thought', 371)","('time', 359)","('toll', 356)","('75', 344)","('need', 343)","('family', 342)","('life', 330)","('dead', 325)","('mercy', 325)","('quake', 322)","('struck', 312)","('protect', 311)"
"('magnitude', 832)","('hit', 648)","('affected', 631)","('78', 561)","('building', 501)","('pray', 494)","('country', 474)","('time', 445)","('one', 409)","('brother', 407)","('powerful', 395)","('injured', 373)","('disaster', 371)","('devastating', 362)","('condolence', 344)","('protect', 338)","('mercy', 332)","('family', 331)","('area', 329)","('life', 324)","('need', 324)","('thought', 315)","('sister', 314)","('heart', 310)","('another', 307)"
"('pray', 635)","('affected', 616)","('magnitude', 569)","('hit', 451)","('78', 418)","('building', 415)","('family', 403)","('devastating', 396)","('brother', 396)","('u', 387)","('country', 386)","('protect', 375)","('time', 373)","('life', 370)","('injured', 351)","('condolence', 351)","('thought', 342)","('heart', 337)","('one', 336)","('powerful', 333)","('disaster', 332)","('god', 320)","('today', 320)","('mercy', 315)","('please', 312)"
"('affected', 638)","('pray', 621)","('please', 430)","('devastating', 427)","('magnitude', 422)","('country', 413)","('u', 408)","('heart', 397)","('life', 395)","('need', 376)","('time', 371)","('hit', 364)","('family', 351)","('one', 335)","('today', 330)","('thought', 327)","('condolence', 327)","('mercy', 316)","('brother', 309)","('disaster', 309)","('building', 308)","('god', 303)","('78', 300)","('lost', 294)","('protect', 293)"
"('affected', 527)","('pray', 499)","('devastating', 365)","('u', 353)","('heart', 344)","('please', 337)","('time', 326)","('life', 311)","('need', 310)","('family', 302)","('one', 301)","('country', 297)","('victim', 290)","('magnitude', 284)","('mercy', 274)","('thought', 273)","('brother', 272)","('god', 272)","('hit', 267)","('condolence', 261)","('building', 259)","('injured', 258)","('today', 257)","('protect', 247)","('disaster', 245)"
"('please', 346)","('pray', 339)","('affected', 298)","('need', 274)","('u', 266)","('country', 255)","('time', 248)","('devastating', 235)","('life', 225)","('one', 224)","('god', 214)","('support', 205)","('family', 201)","('magnitude', 193)","('building', 184)","('disaster', 180)","('thought', 178)","('injured', 175)","('hit', 174)","('victim', 172)","('heart', 171)","('today', 168)","('world', 167)","('many', 166)","('thousand', 159)"
"('please', 232)","('need', 184)","('disaster', 181)","('affected', 173)","('pray', 170)","('area', 159)","('u', 154)","('devastating', 154)","('time', 151)","('building', 148)","('country', 146)","('support', 144)","('report', 137)","('victim', 131)","('thousand', 130)","('family', 122)","('life', 120)","('magnitude', 118)","('one', 118)","('heart', 114)","('thought', 111)","('still', 110)","('world', 109)","('today', 108)","('hit', 106)"
"('disaster', 151)","('area', 145)","('please', 144)","('u', 137)","('report', 132)","('time', 112)","('country', 106)","('need', 104)","('pray', 102)","('affected', 99)","('i’m', 96)","('impact', 96)","('hit', 96)","('magnitude', 93)","('reply', 93)","('bot', 92)","('hi', 91)","('devastating', 91)","('78', 88)","('support', 85)","('god', 80)","('one', 79)","('life', 78)","('victim', 77)","('thousand', 76)"
"('pray', 207)","('disaster', 171)","('report', 152)","('hit', 150)","('affected', 147)","('area', 143)","('time', 141)","('u', 137)","('team', 130)","('magnitude', 130)","('life', 123)","('toll', 122)","('please', 120)","('god', 115)","('devastating', 109)","('family', 108)","('country', 105)","('one', 105)","('need', 105)","('heart', 103)","('building', 98)","('injured', 94)","('relief', 94)","('78', 93)","('i’m', 92)"
