0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"('olsun', 28)","('geçmiş', 19)","('turkey', 19)","('deprem', 16)","('78', 15)","('km', 15)","('çok', 12)","('kahramanmaraş', 11)","('türkiye', 10)","('meydana', 9)","('saat', 9)","('74', 9)","('nurdağı', 9)","('bir', 9)","('hit', 8)","('ilçesinde', 8)","('allah', 7)","('e', 7)","('bu', 7)","('utc', 7)","('umarım', 6)","('yoktur', 6)","('büyüklüğünde', 6)","('kahramanmaraş’ın', 6)","('pazarcık', 6)"
"('olsun', 208)","('deprem', 167)","('lütfen', 158)","('bir', 145)","('geçmiş', 137)","('çok', 136)","('yardım', 128)","('bu', 98)","('acil', 84)","('türkiye', 84)","('enkaz', 82)","('allah', 81)","('var', 77)","('altında', 75)","('kahramanmaraş', 69)","('yardim', 66)","('afad', 62)","('hatay', 57)","('tüm', 55)","('km', 55)","('74', 51)","('turkey', 48)","('için', 47)","('olan', 44)","('da', 41)"
"('olsun', 710)","('geçmiş', 441)","('çok', 388)","('deprem', 354)","('yardım', 352)","('lütfen', 322)","('bir', 293)","('bu', 270)","('allah', 268)","('afad', 244)","('altında', 205)","('enkaz', 200)","('hatay', 190)","('acil', 182)","('var', 161)","('göçük', 148)","('için', 147)","('kahramanmaraş', 146)","('türkiye', 139)","('sen', 136)","('tüm', 132)","('büyük', 128)","('rahmet', 126)","('yardim', 125)","('saat', 122)"
"('olsun', 427)","('geçmiş', 250)","('lütfen', 239)","('yardım', 223)","('çok', 206)","('deprem', 201)","('bir', 198)","('allah', 171)","('bu', 162)","('altında', 159)","('hatay', 141)","('acil', 137)","('enkaz', 134)","('türkiye', 125)","('için', 118)","('var', 115)","('göçük', 113)","('rahmet', 100)","('mahallesi', 99)","('türkiyem', 89)","('olan', 88)","('tüm', 87)","('yardim', 85)","('afad', 82)","('haber', 78)"
"('olsun', 845)","('lütfen', 816)","('yardım', 790)","('bir', 612)","('çok', 531)","('bu', 487)","('deprem', 474)","('geçmiş', 467)","('enkaz', 440)","('altında', 376)","('allah', 349)","('var', 332)","('için', 320)","('acil', 312)","('hatay', 308)","('mahallesi', 301)","('tüm', 258)","('yardim', 244)","('haber', 240)","('olan', 231)","('türkiye', 211)","('arkadaşlar', 186)","('kahramanmaraş', 185)","('da', 179)","('rahmet', 173)"
"('lütfen', 1201)","('yardım', 970)","('bir', 923)","('deprem', 917)","('olsun', 794)","('bu', 745)","('çok', 603)","('enkaz', 503)","('allah', 487)","('için', 457)","('altında', 448)","('var', 410)","('mahallesi', 364)","('hatay', 345)","('geçmiş', 334)","('acil', 312)","('haber', 299)","('yardim', 290)","('olan', 286)","('tüm', 281)","('arkadaşlar', 264)","('da', 260)","('edin', 258)","('allahım', 252)","('daha', 251)"
"('lütfen', 947)","('yardım', 826)","('bir', 712)","('bu', 613)","('deprem', 547)","('olsun', 460)","('için', 418)","('çok', 399)","('enkaz', 389)","('altında', 362)","('var', 358)","('allah', 350)","('hatay', 284)","('mahallesi', 279)","('yardim', 264)","('haber', 256)","('ne', 247)","('acil', 241)","('yok', 230)","('afadbaskanlik', 213)","('tüm', 210)","('arkadaşlar', 209)","('edin', 208)","('olan', 206)","('da', 194)"
"('lütfen', 1678)","('yardım', 1400)","('bu', 944)","('bir', 908)","('enkaz', 743)","('var', 667)","('altında', 607)","('deprem', 587)","('mahallesi', 558)","('çok', 548)","('olsun', 544)","('yardim', 539)","('hatay', 506)","('afadbaskanlik', 505)","('için', 494)","('haber', 489)","('allah', 423)","('yok', 416)","('edin', 393)","('haluklevent', 390)","('ne', 366)","('acil', 358)","('olan', 312)","('arkadaşlar', 302)","('sokak', 301)"
"('lütfen', 2232)","('yardım', 1985)","('bir', 1263)","('bu', 1115)","('enkaz', 974)","('var', 888)","('çok', 845)","('yardim', 838)","('hatay', 791)","('altında', 772)","('yok', 729)","('afadbaskanlik', 704)","('mahallesi', 691)","('haber', 679)","('deprem', 641)","('için', 619)","('olsun', 555)","('haluklevent', 539)","('edin', 536)","('ne', 512)","('allah', 482)","('acil', 478)","('hala', 457)","('da', 426)","('olan', 406)"
"('lütfen', 2513)","('yardım', 2020)","('bir', 1295)","('bu', 1140)","('enkaz', 1019)","('var', 952)","('çok', 950)","('yardim', 855)","('altında', 799)","('hatay', 797)","('afadbaskanlik', 775)","('için', 722)","('yok', 713)","('mahallesi', 711)","('haber', 709)","('deprem', 688)","('haluklevent', 658)","('ne', 556)","('edin', 545)","('acil', 531)","('arkadaşlar', 522)","('olsun', 521)","('da', 456)","('depremdairesi', 454)","('allah', 444)"
