0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
78,hit,felt,gaziantep,central,usgs,ago,minago,report,southern,77,pm,powerful,damage,reported,time,near,min,everyone,shaking,m78,hope,strike,one,building
78,building,hit,southern,collapsed,felt,damage,powerful,many,level,report,international,massive,country,central,everyone,pray,region,strong,time,quake,city,near,alert,strike
78,building,hit,dead,least,injured,massive,southern,pray,quake,powerful,killed,collapsed,toll,lebanon,many,country,brother,turkish,report,everyone,city,life,today,damage
78,building,hit,injured,dead,country,lebanon,devastating,toll,massive,pray,powerful,killed,life,thought,today,family,many,least,news,quake,collapsed,condolence,time,southern
78,hit,building,country,level,injured,pray,dead,condolence,thought,family,devastating,brother,many,life,powerful,one,international,news,world,call,victim,time,massive,heart
hit,78,building,country,pray,powerful,another,injured,devastating,brother,one,thought,time,toll,75,family,life,dead,mercy,quake,struck,protect,turkish,condolence,level
hit,78,building,pray,country,time,one,brother,powerful,injured,disaster,devastating,condolence,protect,mercy,family,area,life,thought,sister,heart,another,god,victim,u
pray,hit,78,building,family,devastating,brother,u,country,protect,time,life,injured,condolence,thought,heart,one,powerful,disaster,god,today,mercy,victim,sister,toll
pray,devastating,country,u,heart,life,time,hit,family,one,today,thought,condolence,mercy,brother,disaster,building,god,78,lost,protect,injured,victim,day,world
pray,devastating,u,heart,time,life,family,one,country,victim,mercy,thought,brother,god,hit,condolence,building,injured,today,protect,disaster,lost,support,dead,78
pray,u,country,time,devastating,life,one,god,support,family,building,disaster,thought,injured,hit,victim,heart,today,world,many,thousand,mercy,everyone,donate,toll
disaster,pray,area,u,devastating,time,building,country,support,report,victim,thousand,family,life,one,heart,thought,still,world,today,hit,turkish,dead,many,god
disaster,area,u,report,time,country,pray,i’m,impact,hit,reply,bot,hi,devastating,78,support,god,one,life,victim,thousand,building,world,family,heart
pray,disaster,report,hit,area,time,u,life,toll,god,devastating,family,country,one,heart,building,injured,relief,78,i’m,impact,lost,world,hi,reply
pray,time,disaster,one,life,country,hit,heart,toll,u,building,family,india,devastating,78,injured,victim,lost,relief,god,area,thousand,condolence,mercy,brother
pray,relief,time,country,disaster,life,one,toll,victim,family,india,area,hit,u,building,devastating,world,lost,condolence,indian,injured,medical,search,heart,brother
country,toll,pray,time,u,relief,one,devastating,victim,life,disaster,hit,support,condolence,family,area,5000,india,injured,thousand,building,lost,search,god,day
pray,u,victim,time,support,5000,brother,life,relief,country,toll,disaster,one,hit,devastating,thousand,family,building,injured,turkish,area,india,syrian,world,donate
disaster,country,life,one,support,victim,u,pray,turkish,area,donate,time,family,report,emergency,devastating,brother,relief,heart,world,hit,syrian,state,5000,toll
