0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
"('78', 108)","('magnitude', 100)","('hit', 93)","('felt', 72)","('gaziantep', 62)","('km', 61)","('central', 51)","('usgs', 51)","('ago', 45)","('minago', 43)","('report', 41)","('southern', 39)","('77', 39)","('pm', 35)","('powerful', 34)","('damage', 33)","('reported', 33)","('time', 32)","('near', 32)","('min', 31)","('everyone', 29)","('shaking', 29)","('m78', 28)","('hope', 28)","('strike', 27)","('one', 27)","('building', 26)","('minute', 25)","('breaking', 24)","('utc', 23)","('depth', 23)","('lebanon', 23)","('aftershock', 23)","('info', 23)","('major', 22)","('safe', 22)","('big', 21)","('geofon', 20)","('quake', 19)","('massive', 18)","('10', 18)","('local', 18)","('6', 18)","('strong', 18)","('e', 17)","('struck', 17)","('region', 17)"
"('78', 687)","('magnitude', 679)","('building', 477)","('hit', 413)","('prayer', 319)","('southern', 274)","('collapsed', 261)","('felt', 261)","('km', 229)","('damage', 218)","('powerful', 213)","('allah', 202)","('may', 202)","('many', 171)","('level', 171)","('report', 165)","('international', 165)","('massive', 164)","('country', 161)","('central', 159)","('everyone', 158)","('pray', 146)","('please', 146)","('region', 145)","('strong', 138)","('time', 138)","('quake', 137)","('rubble', 135)","('city', 128)","('affected', 126)","('near', 124)","('alert', 123)","('strike', 123)","('ago', 121)","('reported', 116)","('video', 115)","('struck', 113)","('multiple', 110)","('turkish', 107)","('least', 102)","('depth', 102)","('one', 100)","('info', 99)","('casualty', 98)",,,
"('prayer', 812)","('78', 631)","('magnitude', 620)","('building', 505)","('hit', 491)","('allah', 364)","('affected', 336)","('may', 332)","('dead', 305)","('least', 276)","('injured', 261)","('death', 260)","('massive', 247)","('southern', 246)","('pray', 235)","('quake', 221)","('powerful', 218)","('killed', 210)","('collapsed', 207)","('toll', 203)","('lebanon', 202)","('many', 200)","('country', 198)","('brother', 165)","('turkish', 165)","('report', 161)","('km', 155)","('everyone', 148)","('city', 147)","('life', 140)","('today', 139)","('damage', 138)","('international', 137)","('news', 137)","('felt', 133)","('100', 133)","('rubble', 131)","('time', 130)","('thought', 129)","('region', 128)","('u', 127)","('one', 124)","('struck', 121)","('strike', 120)",,,
"('prayer', 948)","('magnitude', 582)","('allah', 556)","('78', 540)","('affected', 533)","('may', 525)","('building', 449)","('hit', 439)","('injured', 355)","('death', 313)","('dead', 292)","('country', 268)","('lebanon', 252)","('devastating', 247)","('toll', 239)","('massive', 236)","('pray', 233)","('powerful', 230)","('killed', 214)","('life', 210)","('thought', 206)","('today', 200)","('family', 199)","('many', 199)","('least', 198)","('news', 197)","('quake', 196)","('collapsed', 195)","('condolence', 180)","('time', 177)","('rubble', 175)","('southern', 174)","('city', 174)","('everyone', 173)","('brother', 162)","('victim', 160)","('place', 159)","('mercy', 159)","('hundred', 159)","('one', 155)","('u', 154)","('area', 151)","('turkish', 148)",,,,
"('prayer', 955)","('allah', 767)","('may', 724)","('affected', 533)","('magnitude', 528)","('78', 518)","('hit', 513)","('building', 505)","('country', 489)","('level', 402)","('injured', 352)","('rubble', 329)","('pray', 329)","('dead', 318)","('condolence', 314)","('thought', 309)","('need', 306)","('family', 301)","('devastating', 296)","('brother', 282)","('many', 271)","('life', 270)","('powerful', 267)","('one', 264)","('international', 264)","('news', 263)","('world', 251)","('call', 242)","('victim', 240)","('time', 238)","('death', 232)","('massive', 231)","('heart', 230)","('mercy', 230)","('hundred', 226)","('lost', 219)","('killed', 217)","('declared', 211)","('alert', 210)","('4', 210)","('everyone', 206)","('lebanon', 205)","('area', 203)",,,,
"('prayer', 1167)","('magnitude', 1078)","('may', 987)","('allah', 984)","('hit', 842)","('78', 786)","('affected', 612)","('building', 556)","('country', 541)","('pray', 472)","('death', 452)","('powerful', 442)","('another', 433)","('injured', 431)","('devastating', 407)","('brother', 396)","('one', 384)","('thought', 371)","('time', 359)","('toll', 356)","('75', 344)","('need', 343)","('family', 342)","('life', 330)","('dead', 325)","('mercy', 325)","('quake', 322)","('struck', 312)","('protect', 311)","('turkish', 308)","('condolence', 306)","('team', 304)","('level', 303)","('news', 298)","('sister', 296)","('area', 295)","('disaster', 295)","('rubble', 292)","('killed', 288)","('god', 287)","('massive', 285)","('please', 283)","('u', 279)",,,,
"('prayer', 1208)","('may', 960)","('allah', 942)","('magnitude', 832)","('hit', 648)","('affected', 631)","('78', 561)","('building', 501)","('pray', 494)","('country', 474)","('time', 445)","('one', 409)","('brother', 407)","('powerful', 395)","('injured', 373)","('disaster', 371)","('devastating', 362)","('condolence', 344)","('protect', 338)","('mercy', 332)","('family', 331)","('area', 329)","('life', 324)","('need', 324)","('thought', 315)","('sister', 314)","('death', 314)","('heart', 310)","('another', 307)","('please', 305)","('god', 298)","('victim', 296)","('u', 295)","('report', 294)","('dead', 292)","('team', 292)","('today', 286)","('turkish', 281)","('everyone', 281)","('news', 275)","('rubble', 274)","('75', 272)","('many', 254)",,,,
"('prayer', 1154)","('allah', 936)","('may', 922)","('pray', 635)","('affected', 616)","('magnitude', 569)","('hit', 451)","('78', 418)","('building', 415)","('family', 403)","('devastating', 396)","('brother', 396)","('u', 387)","('country', 386)","('death', 377)","('protect', 375)","('time', 373)","('life', 370)","('injured', 351)","('condolence', 351)","('thought', 342)","('heart', 337)","('one', 336)","('powerful', 333)","('disaster', 332)","('god', 320)","('today', 320)","('mercy', 315)","('please', 312)","('victim', 311)","('need', 310)","('sister', 309)","('toll', 305)","('area', 273)","('rubble', 272)","('lost', 267)","('turkish', 264)","('everyone', 258)","('dead', 257)","('killed', 257)","('go', 255)","('team', 253)","('news', 251)",,,,
"('prayer', 976)","('allah', 972)","('may', 902)","('affected', 638)","('pray', 621)","('please', 430)","('devastating', 427)","('magnitude', 422)","('country', 413)","('u', 408)","('heart', 397)","('life', 395)","('need', 376)","('time', 371)","('hit', 364)","('family', 351)","('one', 335)","('today', 330)","('thought', 327)","('condolence', 327)","('mercy', 316)","('brother', 309)","('disaster', 309)","('building', 308)","('god', 303)","('78', 300)","('lost', 294)","('protect', 293)","('injured', 290)","('rubble', 277)","('death', 276)","('victim', 275)","('day', 275)","('world', 270)","('turkish', 264)","('area', 259)","('go', 247)","('team', 246)","('dead', 240)","('sister', 238)","('thousand', 237)","('everyone', 233)","('support', 233)",,,,
"('prayer', 801)","('allah', 766)","('may', 744)","('affected', 527)","('pray', 499)","('devastating', 365)","('u', 353)","('heart', 344)","('please', 337)","('time', 326)","('life', 311)","('need', 310)","('family', 302)","('one', 301)","('country', 297)","('victim', 290)","('magnitude', 284)","('mercy', 274)","('thought', 273)","('brother', 272)","('god', 272)","('hit', 267)","('condolence', 261)","('building', 259)","('injured', 258)","('today', 257)","('protect', 247)","('disaster', 245)","('lost', 241)","('death', 239)","('support', 234)","('dead', 231)","('78', 228)","('rubble', 225)","('thousand', 224)","('team', 220)","('everyone', 218)","('turkish', 217)","('go', 209)","('day', 199)","('sister', 189)","('world', 187)","('news', 187)",,,,
"('prayer', 440)","('may', 418)","('allah', 364)","('please', 346)","('pray', 339)","('affected', 298)","('need', 274)","('u', 266)","('country', 255)","('time', 248)","('devastating', 235)","('rubble', 228)","('life', 225)","('one', 224)","('god', 214)","('support', 205)","('aid', 202)","('family', 201)","('magnitude', 193)","('death', 189)","('building', 184)","('disaster', 180)","('thought', 178)","('injured', 175)","('hit', 174)","('victim', 172)","('heart', 171)","('today', 168)","('world', 167)","('many', 166)","('thousand', 159)","('km', 159)","('mercy', 157)","('team', 153)","('everyone', 147)","('donate', 145)","('toll', 141)","('lost', 139)","('condolence', 139)","('go', 135)","('dead', 134)","('area', 133)","('78', 132)",,,,
"('please', 232)","('prayer', 203)","('may', 188)","('need', 184)","('disaster', 181)","('affected', 173)","('pray', 170)","('area', 159)","('rubble', 157)","('u', 154)","('devastating', 154)","('time', 151)","('building', 148)","('country', 146)","('allah', 144)","('support', 144)","('report', 137)","('victim', 131)","('thousand', 130)","('aid', 126)","('family', 122)","('life', 120)","('magnitude', 118)","('one', 118)","('heart', 114)","('km', 112)","('thought', 111)","('still', 110)","('world', 109)","('today', 108)","('hit', 106)","('turkish', 105)","('dead', 105)","('many', 104)","('god', 104)","('donate', 101)","('injured', 101)","('team', 100)","('i’m', 100)","('death', 99)","('day', 97)","('impact', 97)","('go', 94)",,,,
"('prayer', 159)","('may', 154)","('disaster', 151)","('area', 145)","('please', 144)","('allah', 140)","('u', 137)","('report', 132)","('time', 112)","('country', 106)","('km', 105)","('need', 104)","('pray', 102)","('affected', 99)","('i’m', 96)","('impact', 96)","('hit', 96)","('magnitude', 93)","('reply', 93)","('bot', 92)","('death', 91)","('hi', 91)","('devastating', 91)","('rubble', 89)","('78', 88)","('support', 85)","('god', 80)","('one', 79)","('life', 78)","('victim', 77)","('thousand', 76)","('building', 76)","('world', 75)","('family', 74)","('heart', 73)","('team', 73)","('many', 73)","('ago', 70)","('aid', 67)","('info', 63)","('toll', 62)","('go', 60)","('injured', 58)",,,,
"('prayer', 268)","('may', 251)","('allah', 222)","('pray', 207)","('disaster', 171)","('report', 152)","('hit', 150)","('death', 148)","('affected', 147)","('area', 143)","('time', 141)","('u', 137)","('team', 130)","('magnitude', 130)","('km', 127)","('life', 123)","('toll', 122)","('please', 120)","('god', 115)","('devastating', 109)","('family', 108)","('country', 105)","('one', 105)","('need', 105)","('heart', 103)","('building', 98)","('injured', 94)","('relief', 94)","('78', 93)","('rubble', 93)","('i’m', 92)","('impact', 89)","('lost', 89)","('world', 88)","('hi', 85)","('reply', 83)","('india', 83)","('ago', 82)","('many', 82)","('bot', 82)","('news', 80)","('search', 79)","('aid', 78)",,,,
"('may', 361)","('allah', 356)","('prayer', 339)","('pray', 274)","('affected', 195)","('magnitude', 191)","('time', 189)","('disaster', 172)","('team', 166)","('one', 160)","('death', 158)","('life', 154)","('country', 151)","('hit', 149)","('heart', 148)","('toll', 138)","('u', 138)","('building', 137)","('family', 137)","('india', 132)","('devastating', 129)","('78', 128)","('please', 127)","('injured', 126)","('victim', 125)","('lost', 124)","('relief', 122)","('aid', 121)","('need', 121)","('god', 116)","('area', 111)","('thousand', 110)","('condolence', 108)","('mercy', 107)","('brother', 106)","('world', 104)","('rubble', 104)","('day', 103)","('thought', 96)","('many', 94)","('quake', 92)","('report', 92)","('go', 91)",,,,
"('allah', 364)","('team', 352)","('prayer', 343)","('may', 339)","('pray', 285)","('affected', 255)","('relief', 232)","('time', 210)","('country', 207)","('aid', 205)","('death', 194)","('disaster', 187)","('life', 180)","('magnitude', 180)","('one', 175)","('toll', 169)","('victim', 168)","('family', 168)","('india', 168)","('please', 166)","('area', 161)","('hit', 160)","('u', 160)","('rubble', 159)","('building', 149)","('devastating', 148)","('world', 141)","('lost', 141)","('condolence', 137)","('indian', 136)","('injured', 131)","('medical', 131)","('search', 127)","('heart', 126)","('brother', 126)","('first', 123)","('need', 122)","('support', 122)","('78', 118)","('thousand', 118)","('material', 118)","('mercy', 116)","('day', 116)",,,,
"('affected', 300)","('prayer', 294)","('death', 291)","('team', 287)","('allah', 286)","('may', 278)","('country', 250)","('toll', 240)","('aid', 238)","('pray', 225)","('time', 208)","('rubble', 194)","('u', 190)","('relief', 183)","('one', 180)","('need', 180)","('devastating', 180)","('victim', 176)","('please', 176)","('life', 173)","('disaster', 170)","('magnitude', 167)","('hit', 165)","('support', 161)","('condolence', 158)","('family', 155)","('area', 146)","('5000', 145)","('india', 141)","('km', 139)","('injured', 136)","('thousand', 135)","('building', 134)","('lost', 133)","('search', 131)","('god', 131)","('day', 128)","('world', 125)","('thought', 119)","('heart', 114)","('turkish', 112)","('mercy', 109)","('still', 106)",,,,
"('affected', 276)","('rubble', 275)","('aid', 272)","('prayer', 259)","('may', 257)","('team', 246)","('need', 237)","('death', 234)","('pray', 230)","('u', 228)","('please', 223)","('allah', 219)","('victim', 214)","('time', 206)","('support', 192)","('5000', 187)","('brother', 185)","('life', 185)","('relief', 183)","('country', 183)","('toll', 180)","('disaster', 179)","('one', 178)","('hit', 178)","('devastating', 175)","('thousand', 166)","('family', 155)","('magnitude', 146)","('building', 144)","('injured', 143)","('turkish', 143)","('area', 142)","('india', 141)","('syrian', 136)","('world', 134)","('donate', 133)","('god', 118)","('send', 118)","('condolence', 115)","('lost', 111)","('heart', 109)","('go', 107)","('hour', 104)",,,,
"('affected', 331)","('may', 272)","('aid', 272)","('please', 269)","('prayer', 258)","('rubble', 250)","('disaster', 247)","('allah', 243)","('country', 241)","('life', 230)","('one', 212)","('support', 211)","('victim', 211)","('team', 211)","('u', 210)","('need', 208)","('pray', 197)","('turkish', 189)","('area', 185)","('donate', 181)","('time', 180)","('death', 180)","('family', 173)","('report', 173)","('emergency', 172)","('devastating', 168)","('brother', 168)","('relief', 167)","('heart', 167)","('world', 166)","('hit', 163)","('syrian', 161)","('state', 149)","('5000', 146)","('toll', 137)","('god', 132)","('building', 129)","('india', 125)","('injured', 124)","('president', 124)","('send', 123)","('thousand', 122)","('video', 119)",,,,
