0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Scale,grades,everyone,strong,population,Lebanon,floor,He hits,Poetry,we,floor,seventy seven,Richter,seventy eight,p,something,He is,from,a little,happening,Nice,Richter,average,with it,affected
Moment,Richter,victims,degree,Scale,,seventy eight,Gaseous,occurrence,Gaziantep,peace,building,happening,He hits,inside,seventy seven,grades,buildings,cities,Collapse,reached,video,everyone,condition,now
seventy eight,degree,what,buildings,victims,about us,Moment,dawn,Syrian,destruction,Lebanon,Gaziantep,Help,Region,womb,Collapse,He hits,Gaseous,a result,Two hundred and thirty seven,safety,For everyone,Hatay,happening,gesticulate
injured,happening,regions,Have mercy,Collapse,your mercy,with it,victims,view,In which,moments,building,With what,Moment,buildings,wounded,morning,I,the earth,time,because of,Save,dawn,womb,And he heals
victims,because of,degree,country,seventy eight,New,Have mercy,Nine hundred and twelve,your mercy,their wounded,disaster,about us,Collapse,He hits,I,injured,southern,Moment,now,peace,since,the great,dead,Syrian,civil
I,With your servants,Have mercy,their wounded,By your mercy,victims,and all,disaster,their affliction,all,place,everyone,kindest,gesticulate,building,about us,country,and adversity,that,now,he,worlds,Save,We shall return,affliction
their wounded,I,Moment,victims,on them,Our brothers,Be,because of,your mercy,Save,Have mercy,With your servants,she,worlds,gesticulate,By your mercy,about us,their affliction,the great,We shall return,You,kindest,Our hearts,He said,injured
victims,I,their wounded,With your servants,about us,gesticulate,Our brothers,Have mercy,affliction,Of which,all,and adversity,day,and volcanoes,and all,Be,place,injured,she,Push,Our hearts,about them,on them,something,the earth
victims,because of,on them,all,affliction,I,who are they,Have mercy,In which,worlds,With your servants,now,minister,their affliction,about us,your mercy,affected,We shall return,The merciful,By your mercy,the heart,Our Lord,mechanism,Be,their wounded
day,With your servants,on him,Our Lord,on them,victims,Countries,I swear,Our hearts,nicer,the earth,their wounded,injured,all,about us,who are they,the great,gesticulate,because of,worlds,And have mercy,the one,she,Syrians,disaster
Oh God,Be,day,Our hearts,on him,The world,patience,We,I,Our Lord,she,Moment,victims,now,With your servants,cumulus,their wounded,we,for him,And have mercy,Aleppo,child,kindest,a lot,person
may be,certificate,in,your mercy,,maybe,the earth,we,Of which,With your servants,humanity,on him,day,Just,a test,there,gesticulate,much,"Syria,",Arabic,Saudi Arabia,that,about us,Shivering,Richter
a test,on,certificate,any,but,general,In which,I want,IELTS,Academic,,on him,He is,You,?,agent,she has,She was,your future,standing,ielts?,yourself,progress,Grant,And you don't have it
their wounded,on them,your,Evil,gesticulate,injured,Back,something,on him,By your mercy,worlds,Of which,stomach,and all,Including,their patients,And heal,that,I,?,and adversity,place,their affliction,The world,blessings
for us,and emergency,outcome,gesticulate,search,Source,on him,in,and rescue,And you,Be,Our Lord,The merciful,not,country,worlds,and adversity,Of which,Cashing,price,thousands,victims,By your mercy,Evil,kindest
Vice,between,search,nation,Syrian,protect,head,morning,Access,now,her brother,gesticulate,region,organized,because of,new,their affliction,grades,jerks,recoil,Source,European,and rescue,that,Richter
he,child,Syrian,humanity,your mercy,rubble,affected,By your mercy,Defense,day,between,his family,operations,last,the one,may be,via,the situation,the Red,I was,big,I swear,The merciful,Syrians,Child
