0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Turkey,seventy-eight,km,occur,seventy four,nurdağı,hit,in the district,to,utc,I hope,there is no,sized,of Kahramanmaraş,bazaar,on 0417,earthquake,gaziantep,minago,loss,assistant,centre,sixty-seven,62ml,pm
km,seventy four,Turkey,building,malatya,gaziantep,Diyarbakir,Adana,destroyed,my turkey,occur,telephone,all,centre,seventy-eight,meat,before,day,remainder,busy,My God,it happened,bazaar,four,level
mercy,four hundred and seventeen,My God,end,meat,my turkey,your life,day,in earthquake,Diyarbakir,seventy four,good luck,our assistant,malatya,to the injured,to our citizens,Adana,minute,occur,Turkey,before,remainder,assistant,km,to everyone
mercy,my turkey,your life,in earthquake,good luck,from god,end,My God,building,Turkey,occur,assistant,meat,I wish,to our citizens,seventy four,gaziantep,day,loser,apt,malatya,give it,to the injured,km,our assistant
mercy,my turkey,blood,in earthquake,building,your life,good luck,My God,meat,remainder,bad,day,from god,everyone,I wish,to the injured,write and,to our citizens,we can't reach,centre,to help,give it,unity,difficult,under
meat,My God,building,everyone,it happened,blood,mercy,rearguard,our assistant,day,my turkey,continue,remainder,end,in earthquake,write and,bad,give it,centre,tl,before,block,How,occur,we can't get
building,announcement,important,end,everyone,meat,place,remainder,blood,malatya,This,My God,my turkey,day,we can't reach,only,in earthquake,blanket,recovery,what's that,mercy,under,attention,in Sakarya,Syria
under,we can't reach,building,everyone,Please,blanket,we can't get,block,day,remainder,family,case,thing,centre,difficult,site,no,what's that,This,helper,since,like this,meat,How,my friend's
under,to fault,From where,day,block,case,since,centre,we can't get,be,Please,everyone,noone,site,we can't reach,difficult,building,helper,four,bad,malatya,that,in error,recovery,place
to fault,under,From where,case,Please,we can't reach,block,building,since,hotels,everyone,what's that,family,to help,accomodation,centre,difficult,day,It is possible,we can't get,recovery,weather,that,Now,helper
everyone,How,remainder,person,block,building,under,meat,we can't reach,From where,recovery,apt,since,fatma,Please,TV,we can't get,waiting,twitter,to help,what's that,important,noone,to fault,difficult
block,meat,everyone,thing,apt,From where,night,recovery,person,Now,remainder,with spring,time,One,centre,waiting,site,Chad,that,day,to help,it happened,what's that,be,How
twenty four,to fault,Now,From where,it happened,difficult,weather,case,meat,This,team,from the cold,block,skin,leave,How,Turkish,is the hour,everyone,since,noone,under,We,snow,to help
it happened,no,from the cold,thing,twenty four,meat,people,This,recovery,about to,one,Now,marash,cold,case,send,freezing,How,that,difficult,weather,under,bad,starving,From where
erpars,from the cold,freezing,people,recovery,difficult,Now,From where,it happened,How,meat,no,under,thing,bad,waiting,leave,noone,day,to help,since,team,only,This,malatya
Now,From where,recovery,This,thing,to help,difficult,It is possible,block,How,it happened,since,This,noone,site,required,case,building,team,family,under,people,is it,apt,waiting
Now,recovery,From where,block,difficult,people,under,noone,thing,from the earthquake,This,everyone,family,no,case,It is possible,that,site,since,required,to fault,apt,This,waiting,building
family,block,site,Adana,everyone,under,remainder,noone,city,apt,waiting,those who,advert,marash,case,to help,This,people,It is possible,thing,since,no,recovery,what's that,way
city,under,everyone,This,Adana,those who,remainder,recovery,malatya,Please,that,block,from the earthquake,thing,difficult,people,like this,more,case,place,This,team,noone,required,helper
under,apt,thing,recovery,Please,that,difficult,Now,city,This,from the earthquake,case,person,team,everyone,state,boulevard,place,what's that,block,like this,family,only,helper,centre
under,state,everyone,need,This,block,centre,like this,what's that,it happened,thing,required,family,It is possible,This,person,apt,saying,recovery,case,from the earthquake,those who,Now,people,site
crane,state,everyone,centre,that,Please,Now,This,helper,what's that,block,It is possible,need,required,under,apt,case,difficult,person,thing,those who,This,Turkish,twelve,saying
crane,This,This,apt,state,Now,site,voluntarily,Please,required,that,those who,more,person,block,family,everyone,before,noone,what's that,need,helper,waiting,thing,to help
required,everyone,under,helper,baby,state,One,crane,about to,person,case,meat,that,Now,adiyaman,difficult,block,be,five,It is possible,apt,Please,This,We,one
forty-eight,This,person,under,thing,more,address,what's that,saying,is it,Only,noone,everyone,day,continue,cold,This,required,one,baby,antakyahatay,We,is coming,from the wreck,weather
cold,died,what's that,crane,Now,only,This,required,provisions,state,°C,This,I,under,blanket,that,address,Please,give it,day,time,night,recovery,place,your trouble
Now,recovery,is it,I,day,This,remainder,We,How,more,everyone,difficult,block,thing,way,apt,required,It is possible,noone,saying,under,Only,what's that,crane,TRUE
day,is it,required,Now,saying,This,apt,crane,it happened,This,How,recovery,everyone,what's that,to the region,need,noone,From where,My God,team,waiting,more,person,like this,building
required,This,to help,more,everyone,This,those who,recovery,thing,Now,need,crane,apt,baby,difficult,day,It is possible,saying,what's that,is it,that,from the wreck,person,state,expo
