0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
مقياس,درجات,الجميع,قوية,سكان,لبنان,ارضية,يضرب,شعر,نحن,أرضية,77,ريختر,78,ع,شي,يكون,مِنْ,قليل,حدوث,لطيف,رختر,المتوسط,به,المتضررين
لحظة,ريختر,الضحايا,درجة,مقياس,•,78,غازي,وقوع,عنتاب,سلم,مبنى,حدوث,يضرب,داخل,77,درجات,المباني,مدن,انهيار,بلغت,فيديو,الجميع,حالة,الآن
78,درجة,مَا,المباني,الضحايا,عنا,لحظة,فجر,السورية,الدمار,لبنان,عنتاب,المساعدة,المنطقة,رحم,انهيار,يضرب,غازي,نتيجة,237,السلامة,للجميع,هاتاي,حدوث,وما
المصابين,حدوث,مناطق,يرحم,انهيار,رحمتك,به,الضحايا,مشاهد,فيها,لحظات,مبنى,بما,لحظة,المباني,الجرحى,صباح,انا,الارض,وقت,بسبب,احفظ,فجر,رحم,ويشفي
الضحايا,بسبب,درجة,البلاد,78,جديدة,يرحم,912,رحمتك,جرحاهم,كارثة,عنا,انهيار,يضرب,إنا,المصابين,جنوبي,لحظة,الآن,سلم,منذ,العظيم,قتيلا,السورية,المدني
إنا,بعبادك,يرحم,جرحاهم,برحمتك,الضحايا,وجميع,كارثة,مصابهم,جميع,مكان,الجميع,أرحم,وما,مبنى,عنا,البلاد,والمحن,إن,الآن,هو,العالمين,احفظ,راجعون,البلاء
جرحاهم,إنا,لحظة,الضحايا,عليهم,اخواننا,كن,بسبب,رحمتك,احفظ,يرحم,بعبادك,هي,العالمين,وما,برحمتك,عنا,مصابهم,العظيم,راجعون,أنت,أرحم,قلوبنا,قال,المصابين
الضحايا,إنا,جرحاهم,بعبادك,عنا,وما,إخواننا,يرحم,البلاء,منها,جميع,والمحن,يوم,والبراكين,وجميع,كن,مكان,المصابين,هي,ادفع,قلوبنا,عنهم,عليهم,شيء,الأرض
الضحايا,بسبب,عليهم,جميع,البلاء,إنا,منهم,يرحم,فيها,العالمين,بعبادك,الآن,وزير,مصابهم,عنا,رحمتك,المتضررين,راجعون,الراحمين,برحمتك,القلب,ربنا,إليه,كن,جرحاهم
يوم,بعبادك,عليه,ربنا,عليهم,الضحايا,بلاد,والله,قلوبنا,ألطف,الأرض,جرحاهم,المصابين,جميع,عنا,منهم,العظيم,وما,بسبب,العالمين,ويرحم,اللي,هي,السوريين,كارثة
