0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
turkey,78,km,meydana,74,nurdağı,hit,ilçesinde,e,utc,umarım,yoktur,büyüklüğünde,kahramanmaraş’ın,pazarcık,0417’de,depremin,gaziantep,minago,kaybı,yardımcısı,merkez,67,62mi,pm
km,74,turkey,bina,malatya,gaziantep,diyarbakır,adana,yıkılan,türkiyem,meydana,telefon,bütün,merkez,78,et,önce,gün,kalan,meşgul,rabbim,oldu,pazarcık,4,seviye
rahmet,0417,rabbim,son,et,türkiyem,hayatını,gün,depremde,diyarbakır,74,şifalar,yardımcımız,malatya,yaralılara,vatandaşlarımıza,adana,daki̇ka,meydana,turkey,önce,kalan,yardımcısı,km,herkese
rahmet,türkiyem,hayatını,depremde,şifalar,allahtan,son,rabbim,bina,turkey,meydana,yardımcısı,et,diliyorum,vatandaşlarımıza,74,gaziantep,gün,kaybeden,apt,malatya,versin,yaralılara,km,yardımcımız
rahmet,türkiyem,kan,depremde,bina,hayatını,şifalar,rabbim,et,kalan,kötü,gün,allahtan,herkes,diliyorum,yaralılara,yazıp,vatandaşlarımıza,ulaşamıyoruz,merkez,yardıma,versin,birlik,zor,altinda
et,rabbim,bina,herkes,oldu,kan,rahmet,artçı,yardımcımız,gün,türkiyem,devam,kalan,son,depremde,yazıp,kötü,versin,merkez,tl,önce,blok,nasıl,meydana,alamıyoruz
bina,duyuru,önemli̇,son,herkes,et,yer,kalan,kan,malatya,şu,rabbim,türkiyem,gün,ulaşamıyoruz,tek,depremde,battaniye,kurtarma,1,rahmet,altinda,dikkat,sakaryada,suriye
altinda,ulaşamıyoruz,bina,herkes,lutfen,battaniye,alamıyoruz,blok,gün,kalan,ailesi,durumda,şey,merkez,zor,sitesi,hiçbir,1,şu,yardımcı,beri,böyle,et,nasıl,arkadaşımın
altinda,hataya,neden,gün,blok,durumda,beri,merkez,alamıyoruz,olun,lutfen,herkes,kimse,sitesi,ulaşamıyoruz,zor,bina,yardımcı,4,kötü,malatya,ki,hatayda,kurtarma,yer
hataya,altinda,neden,durumda,lutfen,ulaşamıyoruz,blok,bina,beri,oteller,herkes,1,ailesi,yardıma,konaklama,merkez,zor,gün,olur,alamıyoruz,kurtarma,hava,ki,artık,yardımcı
herkes,nasıl,kalan,kişi,blok,bina,altinda,et,ulaşamıyoruz,neden,kurtarma,apt,beri,fatma,lutfen,tv,alamıyoruz,bekliyor,twitter,yardıma,1,önemli̇,kimse,hataya,zor
blok,et,herkes,şey,apt,neden,gece,kurtarma,kişi,artık,kalan,pınarlı,zaman,bi̇r,merkez,bekliyor,sitesi,cad,ki,gün,yardıma,oldu,1,olun,nasıl
24,hataya,artık,neden,oldu,zor,hava,durumda,et,şu,ekip,soğuktan,blok,10,terk,nasıl,türk,saattir,herkes,beri,kimse,altinda,biz,kar,yardıma
oldu,hiçbir,soğuktan,şey,24,et,i̇nsanlar,şu,kurtarma,üzere,bi,artık,maraş,soğuk,durumda,gönderin,donarak,nasıl,ki,zor,hava,altinda,kötü,açlıktan,neden
erparlar,soğuktan,donarak,i̇nsanlar,kurtarma,zor,artık,neden,oldu,nasıl,et,hiçbir,altinda,şey,kötü,bekliyor,terk,kimse,gün,yardıma,beri,ekip,tek,su,malatya
artık,neden,kurtarma,su,şey,yardıma,zor,olur,blok,nasıl,oldu,beri,şu,kimse,sitesi,lazım,durumda,bina,ekip,ailesi,altinda,i̇nsanlar,mı,apt,bekliyor
artık,kurtarma,neden,blok,zor,i̇nsanlar,altinda,kimse,şey,depremden,su,herkes,ailesi,hiçbir,durumda,olur,ki,sitesi,beri,lazım,hataya,apt,şu,bekliyor,bina
ailesi,blok,sitesi,adana,herkes,altinda,kalan,kimse,şehir,apt,bekliyor,olanlar,ilan,maraş,durumda,yardıma,su,i̇nsanlar,olur,şey,beri,hiçbir,kurtarma,1,şekilde
şehir,altinda,herkes,su,adana,olanlar,kalan,kurtarma,malatya,lutfen,ki,blok,depremden,şey,zor,i̇nsanlar,böyle,fazla,durumda,yer,şu,ekip,kimse,lazım,yardımcı
altinda,apt,şey,kurtarma,lutfen,ki,zor,artık,şehir,su,depremden,durumda,kişi,ekip,herkes,devlet,bulvarı,yer,1,blok,böyle,ailesi,tek,yardımcı,merkez
altinda,devlet,herkes,ihtiyaç,su,blok,merkez,böyle,1,oldu,şey,lazım,ailesi,olur,şu,kişi,apt,diye,kurtarma,durumda,depremden,olanlar,artık,i̇nsanlar,sitesi
