0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"('turkey', 19)","('78', 15)","('km', 15)","('kahramanmaraş', 11)","('türkiye', 10)","('meydana', 9)","('saat', 9)","('74', 9)","('nurdağı', 9)","('hit', 8)","('ilçesinde', 8)","('e', 7)","('utc', 7)","('umarım', 6)","('yoktur', 6)","('büyüklüğünde', 6)","('kahramanmaraş’ın', 6)","('pazarcık', 6)"
"('acil', 84)","('türkiye', 84)","('kahramanmaraş', 69)","('afad', 62)","('tüm', 55)","('km', 55)","('74', 51)","('turkey', 48)","('olan', 44)",,,,,,,,,
"('afad', 244)","('acil', 182)","('göçük', 148)","('kahramanmaraş', 146)","('türkiye', 139)","('sen', 136)","('tüm', 132)","('büyük', 128)","('rahmet', 126)","('saat', 122)",,,,,,,,
"('acil', 137)","('türkiye', 125)","('göçük', 113)","('rahmet', 100)","('türkiyem', 89)","('olan', 88)","('tüm', 87)","('afad', 82)","('haber', 78)",,,,,,,,,
"('acil', 312)","('tüm', 258)","('haber', 240)","('olan', 231)","('türkiye', 211)","('kahramanmaraş', 185)","('rahmet', 173)",,,,,,,,,,,
"('acil', 312)","('haber', 299)","('olan', 286)","('tüm', 281)","('edin', 258)","('allahım', 252)","('daha', 251)",,,,,,,,,,,
"('haber', 256)","('acil', 241)","('tüm', 210)","('edin', 208)","('olan', 206)",,,,,,,,,,,,,
"('haber', 489)","('edin', 393)","('acil', 358)","('olan', 312)","('sokak', 301)",,,,,,,,,,,,,
"('haber', 679)","('edin', 536)","('acil', 478)","('hala', 457)","('olan', 406)",,,,,,,,,,,,,
"('haber', 709)","('edin', 545)","('acil', 531)","('depremdairesi', 454)",,,,,,,,,,,,,,
"('haber', 631)","('edin', 482)","('acil', 475)","('hala', 452)",,,,,,,,,,,,,,
"('haber', 266)","('hala', 201)","('edin', 196)","('acil', 179)",,,,,,,,,,,,,,
"('haber', 123)","('edin', 108)","('insanlar', 94)","('hala', 91)","('acil', 89)","('saat', 88)",,,,,,,,,,,,
"('edin', 83)","('insanlar', 80)","('hala', 70)","('kadar', 57)","('nolur', 57)","('olan', 55)",,,,,,,,,,,,
"('edin', 155)","('hala', 139)","('insanlar', 134)","('haber', 126)","('sokak', 100)",,,,,,,,,,,,,
"('hala', 255)","('edin', 224)","('insanlar', 179)","('haber', 171)","('daha', 160)",,,,,,,,,,,,,
"('hala', 286)","('edin', 276)","('haber', 273)","('acil', 263)",,,,,,,,,,,,,,
"('haber', 330)","('olan', 313)","('yayalım', 296)","('edin', 271)",,,,,,,,,,,,,,
"('olan', 267)","('haber', 254)","('edin', 220)","('yayalım', 211)",,,,,,,,,,,,,,
"('haber', 255)","('olan', 241)","('aci̇l', 205)","('edin', 201)","('acil', 196)",,,,,,,,,,,,,
"('hala', 240)","('haber', 227)","('yayalım', 221)",,,,,,,,,,,,,,,
"('acil', 278)","('olan', 270)","('yayalım', 241)","('edin', 238)","('haber', 233)",,,,,,,,,,,,,
"('yayalım', 349)","('acil', 217)","('olan', 187)",,,,,,,,,,,,,,,
"('aci̇l', 145)","('acil', 130)","('olan', 119)","('kadar', 112)",,,,,,,,,,,,,,
"('s', 72)","('acil', 50)","('daha', 46)","('hala', 46)",,,,,,,,,,,,,,
"('hala', 23)","('s', 20)","('kadar', 20)","('daha', 19)",,,,,,,,,,,,,,
"('hala', 51)","('ama', 41)","('daha', 37)","('edin', 37)","('olan', 34)",,,,,,,,,,,,,
"('hala', 88)","('acil', 87)","('edin', 86)",,,,,,,,,,,,,,,
"('acil', 194)","('olan', 161)",,,,,,,,,,,,,,,,
"('acil', 179)","('olan', 156)",,,,,,,,,,,,,,,,
"('acil', 159)","('yayalım', 146)","('babalatv', 133)",,,,,,,,,,,,,,,
"('twitter', 118)","('vpn', 113)","('olan', 100)",,,,,,,,,,,,,,,
"('yayalım', 107)","('kadar', 106)","('olan', 106)",,,,,,,,,,,,,,,
"('babalatv', 148)","('acil', 115)","('ama', 114)",,,,,,,,,,,,,,,
"('babalatv', 303)","('daha', 270)","('fazla', 232)","('çocuk', 227)","('gönderin', 207)","('konuşmuş', 206)","('yaşıyor', 190)","('abisiyle', 183)","('abisi', 181)","('demiş', 181)","('dayanamaz', 180)",,,,,,,
"('babalatv', 75)","('aci̇l', 69)",,,,,,,,,,,,,,,,
"('aci̇l', 45)","('daha', 39)","('s', 34)","('rt', 32)",,,,,,,,,,,,,,
"('kadar', 25)","('s', 24)","('insanlar', 18)","('bile', 17)","('antakya', 16)","('ama', 15)",,,,,,,,,,,,
"('ama', 31)","('daha', 24)","('ile', 23)","('mi', 22)","('hala', 21)",,,,,,,,,,,,,
"('kadar', 48)","('sonra', 46)","('devlet', 46)","('s', 45)","('ile', 42)","('ama', 42)",,,,,,,,,,,,
"('acil', 94)","('aci̇l', 88)",,,,,,,,,,,,,,,,
"('babalatv', 112)","('olan', 110)","('acil', 109)","('daha', 93)",,,,,,,,,,,,,,
"('babalatv', 68)","('aci̇l', 65)","('acil', 62)","('olan', 62)",,,,,,,,,,,,,,
"('kadar', 118)","('olan', 100)","('acil', 86)","('yayalım', 76)","('ama', 75)",,,,,,,,,,,,,
"('kadar', 65)","('babalatv', 64)","('acil', 59)","('olan', 59)","('daha', 56)",,,,,,,,,,,,,
"('babalatv', 28)","('s', 25)","('aci̇l', 24)","('olan', 23)","('acil', 22)","('bölgesine', 22)",,,,,,,,,,,,
"('kadar', 24)","('sonra', 20)","('bölgesine', 19)","('acil', 18)","('aci̇l', 17)","('yayalım', 17)","('saat', 17)",,,,,,,,,,,
