0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
seventy-eight,magnitude,hit,felt,gaziantep,central,usgs,ago,minago,report,southern,seventy-seven,pm,powerful,damage,reported,time,near,min,everyone,shaking,m78,hope,strike,what's that
seventy-eight,magnitude,building,hit,southern,collapsed,felt,damage,powerful,many,level,report,international,massive,country,central,everyone,pray,please,region,strong,time,quake,city,affected
seventy-eight,magnitude,building,hit,affected,dead,least,injured,massive,southern,pray,quake,powerful,killed,collapsed,toll,lebanon,many,country,brother,Turkish,report,everyone,city,life
magnitude,seventy-eight,affected,building,hit,injured,dead,country,lebanon,devastating,toll,massive,pray,powerful,killed,life,thought,today,family,many,least,news,quake,collapsed,condolence
affected,magnitude,seventy-eight,hit,building,country,level,injured,pray,dead,condolence,thought,need,family,devastating,brother,many,life,powerful,what's that,international,news,world,call,victim
magnitude,hit,seventy-eight,affected,building,country,pray,powerful,another,injured,devastating,brother,what's that,thought,time,toll,seventy-five,need,family,life,dead,mercy,quake,struck,protect
magnitude,hit,affected,seventy-eight,building,pray,country,time,what's that,brother,powerful,injured,disaster,devastating,condolence,protect,mercy,family,area,life,need,thought,sister,heart,another
pray,affected,magnitude,hit,seventy-eight,building,family,devastating,brother,u,country,protect,time,life,injured,condolence,thought,heart,what's that,powerful,disaster,god,today,mercy,please
affected,pray,please,devastating,magnitude,country,u,heart,life,need,time,hit,family,what's that,today,thought,condolence,mercy,brother,disaster,building,god,seventy-eight,lost,protect
affected,pray,devastating,u,heart,please,time,life,need,family,what's that,country,victim,magnitude,mercy,thought,brother,god,hit,condolence,building,injured,today,protect,disaster
please,pray,affected,need,u,country,time,devastating,life,what's that,god,support,family,magnitude,building,disaster,thought,injured,hit,victim,heart,today,world,many,thousand thousand
please,need,disaster,affected,pray,area,u,devastating,time,building,country,support,report,victim,thousand thousand,family,life,magnitude,what's that,heart,thought,still,world,today,hit
disaster,area,please,u,report,time,country,need,pray,affected,i'm,impact,hit,magnitude,reply,boots,what,devastating,seventy-eight,support,god,what's that,life,victim,thousand thousand
pray,disaster,report,hit,affected,area,time,u,team,magnitude,life,toll,please,god,devastating,family,country,what's that,need,heart,building,injured,relief,seventy-eight,i'm
pray,affected,magnitude,time,disaster,team,what's that,life,country,hit,heart,toll,u,building,family,india,devastating,seventy-eight,please,injured,victim,lost,relief,need,god
team,pray,affected,relief,time,country,disaster,life,magnitude,what's that,toll,victim,family,india,please,area,hit,u,building,devastating,world,lost,condolence,indian,injured
affected,team,country,toll,pray,time,u,relief,what's that,need,devastating,victim,please,life,disaster,magnitude,hit,support,condolence,family,area,five thousand,india,injured,thousand thousand
affected,team,need,pray,u,please,victim,time,support,five thousand,brother,life,relief,country,toll,disaster,what's that,hit,devastating,thousand thousand,family,magnitude,building,injured,Turkish
affected,please,disaster,country,life,what's that,support,victim,team,u,need,pray,Turkish,area,donate,time,family,report,emergency,devastating,brother,relief,heart,world,hit
affected,need,disaster,country,area,team,please,support,victim,report,time,u,what's that,pray,brother,heart,devastating,life,world,hit,donate,relief,family,many,impact
please,affected,country,need,u,victim,life,team,donate,time,support,what's that,disaster,pray,report,family,devastating,brother,area,emergency,god,relief,syrian,Turkish,hit
need,please,victim,country,u,disaster,affected,team,family,what's that,time,life,devastating,support,donate,pray,world,heart,toll,area,relief,syrian,god,hour,brother
need,please,u,support,country,affected,time,what's that,donate,life,victim,team,Turkish,world,disaster,ago,toll,pray,report,syrian,family,many,info,area,thousand thousand
please,report,need,time,u,area,disaster,support,team,country,ago,info,donate,life,family,affected,what's that,min,victim,safety,use,toll,magnitude,data,world
report,disaster,please,team,need,area,toll,country,u,affected,family,time,life,support,what's that,pray,many,donate,devastating,i'm,thousand thousand,data,victim,reply,god
toll,report,time,disaster,life,team,u,country,victim,need,hit,pray,area,affected,what's that,devastating,family,heart,brother,please,building,support,relief,child,world
report,team,toll,time,u,disaster,country,hour,need,area,pray,relief,brother,life,what's that,please,affected,victim,world,support,god,family,rescued,india,heart
toll,team,disaster,area,relief,time,report,life,what's that,u,country,affected,need,pray,victim,hour,family,please,rescued,still,girl,emergency,devastating,Turkish,brother
toll,team,victim,affected,life,support,need,time,disaster,country,u,area,devastating,relief,family,what's that,world,hour,rescuer,please,report,hit,Turkish,day,syrian
toll,team,need,time,country,affected,disaster,area,victim,please,support,devastating,relief,u,hour,life,what's that,hit,family,donate,building,injured,Turkish,humanitarian,city
team,disaster,victim,need,country,affected,what's that,support,u,life,area,toll,hour,devastating,humanitarian,please,relief,Turkish,time,syrian,donate,eleven thousand,family,day,report
twitter,need,please,team,victim,support,area,affected,Turkish,disaster,life,country,what's that,devastating,u,toll,report,government,time,family,thousand thousand,relief,humanitarian,syrian,emergency
need,twitter,please,team,country,disaster,area,u,affected,victim,life,support,devastating,what's that,time,report,relief,toll,Turkish,syrian,government,thousand thousand,donate,hour,effort
need,victim,please,u,affected,team,country,support,syrian,disaster,what's that,area,world,Turkish,life,day,time,devastating,twitter,family,report,donate,humanitarian,relief,many
need,please,victim,report,u,time,support,disaster,Turkish,country,life,ago,donate,what's that,info,twitter,team,world,day,humanitarian,affected,toll,government,magnitude,hour
please,u,need,support,twitter,use,donate,safety,info,data,ago,strike,ml,"two hundred and thirty thousand, two hundred and eight",dpt,emsc,purpose,powered,life,victim,min,Turkish,report,disaster,time
info,ago,team,report,please,safety,need,use,min,u,magnitude,data,life,time,ml,disaster,dpt,emsc,purpose,powered,Turkish,country,what's that,twitter,local
report,team,toll,need,use,u,disaster,data,purpose,safety,info,ml,"two hundred and thirty thousand, two hundred and nine",dpt,emsc,powered,Turkish,fifteen thousand,relief,ago,what's that,time,country,affected,strike
toll,team,relief,disaster,what's that,report,safety,use,fifteen thousand,area,data,need,ml,powered,day,country,info,"two hundred and thirty thousand, two hundred and nine",dpt,emsc,purpose,india,life,time,ago
toll,team,disaster,time,country,life,need,victim,u,please,fifteen thousand,what's that,day,area,report,died,affected,building,devastating,hour,Turkish,relief,family,still,rescued
team,disaster,area,victim,support,toll,affected,please,day,need,life,devastating,country,report,time,region,u,hit,ago,info,hour,relief,building,humanitarian,sixteen thousand
disaster,team,area,affected,toll,support,report,u,need,please,life,time,victim,day,Turkish,country,what's that,magnitude,relief,ago,info,died,hour,devastating,min
team,u,support,please,need,affected,victim,disaster,area,relief,time,toll,Turkish,country,hour,what's that,life,donate,world,child,devastating,syrian,hit,effort,day
