0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
let it be,past,Turkey,earthquake,seventy-eight,km,A lot,heromaras,Türkiye,occur,hour,seventy four,nurdağı,One,hit,in the district,God,to,This,utc,I hope,there is no,sized,of Kahramanmaraş,bazaar
let it be,earthquake,Please,One,past,A lot,help,This,urgent,Türkiye,debris,God,there is,under,heromaras,help,afad,Hatay,all,km,seventy four,Turkey,for,the one which...,in
let it be,past,A lot,earthquake,help,Please,One,This,God,afad,under,debris,Hatay,urgent,there is,dent,for,heromaras,Türkiye,you,all,big,mercy,help,hour
let it be,past,Please,help,A lot,earthquake,One,God,This,under,Hatay,urgent,debris,Türkiye,for,there is,dent,mercy,neighborhood,my turkey,the one which...,all,help,afad,news
let it be,Please,help,One,A lot,This,earthquake,past,debris,under,God,there is,for,urgent,Hatay,neighborhood,all,help,news,the one which...,Türkiye,Friends,heromaras,in,mercy
Please,help,One,earthquake,let it be,This,A lot,debris,God,for,under,there is,neighborhood,Hatay,past,urgent,news,help,the one which...,all,Friends,in,check it out,my god,more
Please,help,One,This,earthquake,let it be,for,A lot,debris,under,there is,God,Hatay,neighborhood,help,news,What,urgent,no,presidency,all,Friends,check it out,the one which...,in
Please,help,This,One,debris,there is,under,earthquake,neighborhood,A lot,let it be,help,Hatay,presidency,for,news,God,no,check it out,haluklevent,What,urgent,the one which...,Friends,street
Please,help,One,This,debris,there is,A lot,help,Hatay,under,no,presidency,neighborhood,news,earthquake,for,let it be,haluklevent,check it out,What,God,urgent,still,in,the one which...
Please,help,One,This,debris,there is,A lot,help,under,Hatay,presidency,for,no,neighborhood,news,earthquake,haluklevent,What,check it out,urgent,Friends,let it be,in,earthquakecircle,God
Please,help,One,This,there is,debris,A lot,for,no,help,Hatay,under,earthquake,presidency,news,neighborhood,haluklevent,God,What,let it be,check it out,urgent,in,still,Friends
Please,help,One,This,there is,debris,A lot,help,no,Hatay,under,earthquake,for,neighborhood,news,presidency,What,haluklevent,Friends,let it be,still,God,check it out,in,urgent
Please,help,One,This,there is,no,debris,A lot,help,Hatay,neighborhood,under,earthquake,news,What,for,check it out,in,presidency,people,still,urgent,God,hour,let it be
help,Please,One,no,This,A lot,there is,debris,under,earthquake,God,help,What,check it out,for,people,presidency,haluklevent,Hatay,let it be,still,neighborhood,much,please,the one which...
